state,current_date,cumulative_var1_at_current_date,cumulative_var2_at_current_date,day_since_policy1,day_since_policy2,day_since_policy3,day_since_policy4,outcome_var,cat_var_Sector,num_var_Sector,cat_var2,key_cat_var1,econ_var4,econ_var3
AK,2/24/2020,0,0,-23,-16,-33,-33,-0.000865475,B,79.3,No,No,6,73181
AL,2/24/2020,0,0,-23,-18,nan,-40,-0.015547428,B,393.5,No,No,2.7,48123
AR,2/24/2020,0,0,-23,-16,nan,nan,-0.000865475,A,253.2,No,No,3.5,45869
AZ,2/24/2020,1,0,-23,-16,nan,-36,0.08116215,A,551.3,No,Yes,4.5,56581
CA,2/24/2020,11,0,-23,-9,-24,-24,-0.001722749,A,"3,062.50",Yes,Yes,3.9,71805
CO,2/24/2020,0,0,-23,-16,-31,-31,0.025333116,A,481.5,No,No,2.5,69117
CT,2/24/2020,0,0,-23,-15,-28,-28,0.008058908,C,345.1,Yes,Yes,3.7,74168
DC,2/24/2020,0,0,-23,-16,-30,-37,-0.158809532,B,239.7,Yes,Yes,5.2,82372
DE,2/24/2020,0,0,-23,-18,-29,-29,0.022112283,A,82.8,No,No,4,62852
FL,2/24/2020,0,0,-23,-14,nan,-39,-0.02101508,A,"1,823.00",No,No,2.8,52594
GA,2/24/2020,0,0,-23,-19,nan,-39,-0.066709481,A,954.3,No,No,3.1,56183
HI,2/24/2020,0,0,-23,-9,-30,-30,0.19319895,D,127.6,No,No,2.7,77765
IA,2/24/2020,0,0,-23,-22,nan,nan,0.091849596,A,308.2,No,No,2.8,58570
ID,2/24/2020,0,0,-23,-18,-30,-30,0.071415219,A,145.7,No,No,2.8,52225
IL,2/24/2020,2,0,-23,-14,-26,-26,-0.030447431,A,1206.2,No,No,3.5,62992
IN,2/24/2020,0,0,-23,-11,-30,-30,0.039206746,A,602,No,No,3.1,54181
KS,2/24/2020,0,0,-23,-17,nan,-35,-0.058977677,A,268.2,No,No,3.1,56422
KY,2/24/2020,0,0,-23,-11,-31,-31,0.007134754,A,400.8,No,No,4.3,48375
LA,2/24/2020,0,0,-23,-16,-28,-28,0.25670339,A,378.1,No,No,5.1,46145
MA,2/24/2020,1,0,-23,-15,-29,-29,-0.029161506,C,824.2,Yes,Yes,2.8,77385
MD,2/24/2020,0,0,-23,-10,-28,-35,0.051079171,B,504.2,No,Yes,3.3,80776
ME,2/24/2020,0,0,-23,-20,-30,-37,0.15972735,C,130.2,No,No,3.1,56277
MI,2/24/2020,0,0,-23,-37,-28,-29,0.032785704,A,805.6,No,No,3.8,54909
MN,2/24/2020,0,0,-23,-18,nan,-33,0.150866813,C,549.1,No,No,3.2,68388
MO,2/24/2020,0,0,-23,-18,nan,-42,-0.112989557,A,543.1,No,No,3.5,53578
MS,2/24/2020,0,0,-23,-19,-39,-39,0.057265562,B,243.7,No,No,5.5,43529
MT,2/24/2020,0,0,-23,-17,-33,-33,0.044322326,A,96,No,No,3.5,53386
NC,2/24/2020,0,0,-23,-15,-35,-35,-0.071599821,A,851.5,No,No,3.6,52752
ND,2/24/2020,0,0,-23,-18,nan,nan,0.186342456,A,92.8,No,No,2.3,61843
NE,2/24/2020,12,0,-23,-18,nan,nan,0.052148005,A,198.6,No,No,3.9,59970
NH,2/24/2020,0,0,-23,-18,-33,-33,0.386672623,A,138.5,No,No,2.6,73381
NJ,2/24/2020,0,0,-23,-14,-26,-26,-0.015711722,A,893.7,Yes,Yes,3.8,80088
NM,2/24/2020,0,0,-23,-16,-29,-29,0.109974455,B,189.7,No,No,4.8,46744
NV,2/24/2020,0,0,-23,-17,nan,-36,0.130109488,D,356.4,No,No,3.6,58003
NY,2/24/2020,0,0,-23,-12,-27,-27,-0.017105439,B,"1,488.10",Yes,Yes,3.8,64894
OH,2/24/2020,0,0,-23,-14,-29,-29,0.009714077,A,"1,028.40",No,No,4.1,54021
OK,2/24/2020,0,0,-23,-38,-37,nan,-0.041407916,B,356.6,No,No,3.3,50051
OR,2/24/2020,0,0,-23,-13,nan,-28,0.057354552,A,359.3,Yes,Yes,3.3,60212
PA,2/24/2020,0,0,-23,-11,-28,-37,0.038117206,C,1307,No,No,4.7,59195
RI,2/24/2020,0,0,-23,-14,nan,-33,0.00360972,C,110.7,Yes,Yes,3.1,19343
